  -4.0000000e+01  -7.6353030e+01  -7.5661330e+01  -7.5687479e+01  -7.5673772e+01
  -3.9921870e+01  -7.6313617e+01  -7.5613359e+01  -7.5638533e+01  -7.5673889e+01
  -3.9843740e+01  -7.6207912e+01  -7.5522372e+01  -7.5547610e+01  -7.5673921e+01
  -3.9765611e+01  -7.6103235e+01  -7.5438133e+01  -7.5464148e+01  -7.5673870e+01
  -3.9687481e+01  -7.6166256e+01  -7.5480362e+01  -7.5504621e+01  -7.5673735e+01
  -3.9609351e+01  -7.6219709e+01  -7.5498223e+01  -7.5522624e+01  -7.5673516e+01
  -3.9531221e+01  -7.6029696e+01  -7.5425537e+01  -7.5450376e+01  -7.5673213e+01
  -3.9453092e+01  -7.6370792e+01  -7.5670338e+01  -7.5695023e+01  -7.5672827e+01
  -3.9374962e+01  -7.6216423e+01  -7.5499283e+01  -7.5524561e+01  -7.5672356e+01
  -3.9296832e+01  -7.6296166e+01  -7.5614192e+01  -7.5639919e+01  -7.5671802e+01
  -3.9218702e+01  -7.6247570e+01  -7.5576404e+01  -7.5601659e+01  -7.5671164e+01
  -3.9140573e+01  -7.6253217e+01  -7.5563528e+01  -7.5589118e+01  -7.5670443e+01
  -3.9062443e+01  -7.6199284e+01  -7.5506215e+01  -7.5532593e+01  -7.5669637e+01
  -3.8984313e+01  -7.6296928e+01  -7.5593590e+01  -7.5618941e+01  -7.5668748e+01
  -3.8906183e+01  -7.6217124e+01  -7.5507955e+01  -7.5533233e+01  -7.5667775e+01
  -3.8828053e+01  -7.6256947e+01  -7.5571521e+01  -7.5597340e+01  -7.5666717e+01
  -3.8749924e+01  -7.6183803e+01  -7.5503561e+01  -7.5528741e+01  -7.5665576e+01
  -3.8671794e+01  -7.6273051e+01  -7.5596319e+01  -7.5622461e+01  -7.5664351e+01
  -3.8593664e+01  -7.6356863e+01  -7.5666301e+01  -7.5691747e+01  -7.5663042e+01
  -3.8515534e+01  -7.6288983e+01  -7.5586344e+01  -7.5611879e+01  -7.5661649e+01
  -3.8437405e+01  -7.6342824e+01  -7.5642120e+01  -7.5667858e+01  -7.5660172e+01
  -3.8359275e+01  -7.6337767e+01  -7.5644302e+01  -7.5670399e+01  -7.5658611e+01
  -3.8281145e+01  -7.6314286e+01  -7.5620894e+01  -7.5646667e+01  -7.5656966e+01
  -3.8203015e+01  -7.6304194e+01  -7.5603555e+01  -7.5629472e+01  -7.5655236e+01
  -3.8124886e+01  -7.6318106e+01  -7.5614803e+01  -7.5640546e+01  -7.5653423e+01
  -3.8046756e+01  -7.6316780e+01  -7.5613041e+01  -7.5638788e+01  -7.5651525e+01
  -3.7968626e+01  -7.6332832e+01  -7.5632358e+01  -7.5658226e+01  -7.5649543e+01
  -3.7890496e+01  -7.6305799e+01  -7.5605758e+01  -7.5631459e+01  -7.5647477e+01
  -3.7812366e+01  -7.6298392e+01  -7.5609368e+01  -7.5635267e+01  -7.5645326e+01
  -3.7734237e+01  -7.6299995e+01  -7.5590379e+01  -7.5615617e+01  -7.5643092e+01
  -3.7656107e+01  -7.6252930e+01  -7.5546876e+01  -7.5572056e+01  -7.5640772e+01
  -3.7577977e+01  -7.6274905e+01  -7.5577264e+01  -7.5602812e+01  -7.5638369e+01
  -3.7499847e+01  -7.6285936e+01  -7.5600772e+01  -7.5626357e+01  -7.5635880e+01
  -3.7421718e+01  -7.6271184e+01  -7.5555176e+01  -7.5580980e+01  -7.5633308e+01
  -3.7343588e+01  -7.6168713e+01  -7.5501849e+01  -7.5527592e+01  -7.5630650e+01
  -3.7265458e+01  -7.6271698e+01  -7.5564480e+01  -7.5589785e+01  -7.5627908e+01
  -3.7187328e+01  -7.6217823e+01  -7.5515785e+01  -7.5541000e+01  -7.5625082e+01
  -3.7109199e+01  -7.6317605e+01  -7.5634560e+01  -7.5660905e+01  -7.5622170e+01
  -3.7031069e+01  -7.6174762e+01  -7.5469095e+01  -7.5493581e+01  -7.5619174e+01
  -3.6952939e+01  -7.6323810e+01  -7.5644624e+01  -7.5670988e+01  -7.5616093e+01
  -3.6874809e+01  -7.6006302e+01  -7.5327009e+01  -7.5351267e+01  -7.5612926e+01
  -3.6796679e+01  -7.6167134e+01  -7.5458700e+01  -7.5484648e+01  -7.5609675e+01
  -3.6718550e+01  -7.6082705e+01  -7.5425168e+01  -7.5449771e+01  -7.5606339e+01
  -3.6640420e+01  -7.6112188e+01  -7.5435642e+01  -7.5462140e+01  -7.5602917e+01
  -3.6562290e+01  -7.6104464e+01  -7.5395911e+01  -7.5419873e+01  -7.5599411e+01
